Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
533106,OIL,OIL INDIA LTD.,03 Jan 2012,Interim Dividend - Rs. - 25.0000,04 Jan 2012,-,-,28 Dec 2011,03 Jan 2012,-
532900,PAISALO,Paisalo Digital Ltd,05 Jan 2012,Scheme of Arrangement ,06 Jan 2012,-,-,30 Dec 2011,05 Jan 2012,-
500312,ONGC,Oil and Natural Gas Corporation Ltd,06 Jan 2012,Interim Dividend - Rs. - 6.2500,09 Jan 2012,-,-,02 Jan 2012,07 Jan 2012,-
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.,12 Jan 2012,Final Dividend - Rs. - 10.0000,-,15 Jan 2012,17 Jan 2012,09 Jan 2012,12 Jan 2012,-
531673,ANKIN,ANKA INDIA LTD.,13 Jan 2012,Consolidation of Shares ,18 Jan 2012,-,-,13 Jan 2012,23 Jan 2012,-
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.,16 Jan 2012,Consolidation of Shares ,17 Jan 2012,-,-,10 Jan 2012,16 Jan 2012,-
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.,16 Jan 2012,Reduction of Capital ,17 Jan 2012,-,-,10 Jan 2012,16 Jan 2012,-
500550,SIEMENS,SIEMENS LTD.,16 Jan 2012,Dividend - Rs. - 6.0000,-,18 Jan 2012,31 Jan 2012,11 Jan 2012,17 Jan 2012,-
532268,ACCELYA,Accelya Solutions India Ltd,17 Jan 2012,Interim Dividend - Rs. - 13.5000,18 Jan 2012,-,-,11 Jan 2012,17 Jan 2012,-
524412,AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD.,19 Jan 2012,Right Issue of Equity Shares ,20 Jan 2012,-,-,13 Jan 2012,19 Jan 2012,-
532281,HCLTECH,HCL TECHNOLOGIES LTD.,20 Jan 2012,Interim Dividend - Rs. - 2.0000,23 Jan 2012,-,-,16 Jan 2012,20 Jan 2012,-
532892,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,20 Jan 2012,Interim Dividend - Rs. - 1.0000,23 Jan 2012,-,-,16 Jan 2012,20 Jan 2012,-
505036,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$,24 Jan 2012,Interim Dividend - Rs. - 2.5000,25 Jan 2012,-,-,18 Jan 2012,24 Jan 2012,-
533655,TRITURBINE,TRIVENI TURBINE LTD.,24 Jan 2012,Interim Dividend - Rs. - 0.2000,25 Jan 2012,-,-,18 Jan 2012,24 Jan 2012,-
507685,WIPRO,WIPRO LTD.,24 Jan 2012,Interim Dividend - Rs. - 2.0000,25 Jan 2012,-,-,18 Jan 2012,24 Jan 2012,-
532155,GAIL,GAIL (INDIA) LTD.,25 Jan 2012,Interim Dividend - Rs. - 3.0000,28 Jan 2012,-,-,20 Jan 2012,25 Jan 2012,-
533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,25 Jan 2012,Interim Dividend - Rs. - 3.5000,-,28 Jan 2012,28 Jan 2012,20 Jan 2012,25 Jan 2012,-
532540,TCS,TATA CONSULTANCY SERVICES LTD.,25 Jan 2012,Interim Dividend - Rs. - 3.0000,28 Jan 2012,-,-,20 Jan 2012,25 Jan 2012,-
532779,TORNTPOWER,TORRENT POWER LTD.,25 Jan 2012,Interim Dividend - Rs. - 3.0000,27 Jan 2012,-,-,19 Jan 2012,25 Jan 2012,-
523411,ADCINDIA,ADC India Communications Limited-$,27 Jan 2012,Dividend - Rs. - 1.5000,-,31 Jan 2012,10 Feb 2012,23 Jan 2012,30 Jan 2012,-
513108,GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,27 Jan 2012,Interim Dividend - Rs. - 6.0000,30 Jan 2012,-,-,20 Jan 2012,27 Jan 2012,-
508670,NEAGI,NEELAMALAI AGRO INDUSTRIES LTD.,27 Jan 2012,Interim Dividend - Rs. - 100.0000,07 Feb 2012,-,-,27 Jan 2012,10 Feb 2012,-
530971,NIMBUSI,NIMBUS INDUSTRIES LTD.,27 Jan 2012,Stock  Split From Rs.10/- to Rs.5/-,30 Jan 2012,-,-,23 Jan 2012,27 Jan 2012,-
500387,SHREECEM,SHREE CEMENT LTD.,27 Jan 2012,Interim Dividend - Rs. - 6.0000,30 Jan 2012,-,-,20 Jan 2012,27 Jan 2012,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,27 Jan 2012,Interim Dividend - Rs. - 6.0000,30 Jan 2012,-,-,20 Jan 2012,27 Jan 2012,-
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,30 Jan 2012,Interim Dividend - Rs. - 1.0000,31 Jan 2012,-,-,23 Jan 2012,30 Jan 2012,-
500290,MRF,MRF LTD.,30 Jan 2012,Final Dividend - Rs. - 19.0000,-,01 Feb 2012,09 Feb 2012,24 Jan 2012,31 Jan 2012,-
532955,RECLTD,REC Ltd,30 Jan 2012,Interim Dividend - Rs. - 5.0000,31 Jan 2012,-,-,23 Jan 2012,30 Jan 2012,-
532947,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,31 Jan 2012,Interim Dividend - Rs. - 1.8000,01 Feb 2012,-,-,24 Jan 2012,31 Jan 2012,-
532555,NTPC,NTPC LTD.,31 Jan 2012,Interim Dividend - Rs. - 3.5000,01 Feb 2012,-,-,24 Jan 2012,31 Jan 2012,-
509930,SUPREMEIND,SUPREME INDUSTRIES LTD.,31 Jan 2012,Interim Dividend - Rs. - 1.5000,01 Feb 2012,-,-,24 Jan 2012,31 Jan 2012,-
532475,APTECHT,APTECH LTD.,01 Feb 2012,Interim Dividend - Rs. - 1.5000,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
500049,BEL,BHARAT ELECTRONICS LTD.,01 Feb 2012,Interim Dividend - Rs. - 10.0000,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
500159,METROGLOBL,Metroglobal Limited,01 Feb 2012,Reduction of Capital ,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
590071,SUNDARMFIN,SUNDARAM FINANCE LTD.,01 Feb 2012,Interim Dividend - Rs. - 7.5000,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
500295,VEDL,Vedanta Limited,01 Feb 2012,Interim Dividend - Rs. - 2.0000,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.,01 Feb 2012,Dividend - Rs. - 1.0000,-,03 Feb 2012,09 Feb 2012,27 Jan 2012,02 Feb 2012,-
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,02 Feb 2012,Dividend - Rs. - 0.4000,-,04 Feb 2012,11 Feb 2012,30 Jan 2012,02 Feb 2012,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,02 Feb 2012,Interim Dividend - Rs. - 4.0000,03 Feb 2012,-,-,27 Jan 2012,02 Feb 2012,-
533151,DBCORP,D B Corp Ltd,02 Feb 2012,Interim Dividend - Rs. - 1.7500,03 Feb 2012,-,-,27 Jan 2012,02 Feb 2012,-
532922,EDELWEISS,Edelweiss Financial Services Ltd.,02 Feb 2012,Interim Dividend - Rs. - 0.3000,04 Feb 2012,-,-,30 Jan 2012,02 Feb 2012,-
509675,HIL,HIL LTD.,02 Feb 2012,Interim Dividend - Rs. - 6.0000,04 Feb 2012,-,-,30 Jan 2012,02 Feb 2012,-
509051,INDINFO,INDIAN INFOTECH & SOFTWARE LTD.,02 Feb 2012,Stock  Split From Rs.10/- to Rs.1/-,03 Feb 2012,-,-,27 Jan 2012,02 Feb 2012,-
512221,SPVGLOBAL,SPV Global Trading Ltd,02 Feb 2012,Interim Dividend - Rs. - 1.5000,10 Feb 2012,-,-,02 Feb 2012,15 Feb 2012,-
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,02 Feb 2012,Interim Dividend - Rs. - 3.0000,04 Feb 2012,-,-,30 Jan 2012,02 Feb 2012,-
500093,CGPOWER,CG Power and Industrial Solutions Ltd,03 Feb 2012,Interim Dividend - Rs. - 0.2000,06 Feb 2012,-,-,30 Jan 2012,03 Feb 2012,-
501455,GREAVESCOT,GREAVES COTTON LTD.,03 Feb 2012,Interim Dividend - Rs. - 0.4000,06 Feb 2012,-,-,30 Jan 2012,03 Feb 2012,-
531412,RADIXIND,Radix Industries (India) Limited,03 Feb 2012,Consolidation of Shares ,17 Feb 2012,-,-,03 Feb 2012,22 Feb 2012,-
531412,RADIXIND,Radix Industries (India) Limited,03 Feb 2012,Reduction of Capital ,17 Feb 2012,-,-,03 Feb 2012,22 Feb 2012,-
530075,SELAN,SELAN EXPLORATION TECHNOLOGY LTD.-$,03 Feb 2012,Interim Dividend - Rs. - 3.0000,06 Feb 2012,-,-,30 Jan 2012,03 Feb 2012,-
532356,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD.,03 Feb 2012,Dividend - Rs. - 0.2000,-,07 Feb 2012,10 Feb 2012,31 Jan 2012,06 Feb 2012,-
